Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,helvol,geomvol,helvol_dis,geomvol_dis
mvc-1200015456,mvc-15456,mvc-13694,Mg0 –1La2MoO6,intercalation,R3,2.05,108,683,222,1397,0.14,0.04,0.0,29.851999999999997,0.0,32.336
mvc-1200006880,mp-1041862,mp-1042355,MgCr(SiO3)2,intercalation,Pcab,2.7,235,794,632,2140,0.15,0.02,0.0,240.605,0.0,74.141
mvc-1200003035,mp-1046508,mp-1046640,MgNi5(TeO6)3,intercalation,C2/c,3.93,202,1053,793,4137,0.19,0.02,0.162,93.83200000000001,0.281,109.524
mvc-1200006446,mp-1041475,mp-1041708,MgMn3(AsO4)4,intercalation,P21/c,3.69,203,768,748,2832,0.18,0.02,0.0,129.463,0.001,152.115
mvc-1200010048,mp-1040921,mvc-5444,Mg0 –0.5MnO2,intercalation,Cm,3.0,270,1124,811,3368,0.09,0.02,0.001,85.376,0.051,119.32799999999999
mvc-1200005115,mvc-5115,mp-25633,MgV(SiO3)2,intercalation,C2/c,1.8,236,773,423,1388,0.07,0.02,0.0,29.656,0.0,34.562
mvc-1200006955,mp-1042060,mp-540273,Mg0 –1NiP2O7,intercalation,P1,4.28,209,725,893,3100,0.15,0.02,0.209,68.73,0.0,41.082
mvc-1200010190,mp-1041097,mp-1041066,Mg0 –0.5MnO2,intercalation,Cm,3.14,270,1131,849,3548,0.15,0.02,0.0,91.71600000000001,0.017,128.637
mvc-1200005884,mp-1047145,mp-504100,Mg0 –0.5CuO2,intercalation,I41/amd,3.61,249,1087,898,3920,0.17,0.02,0.0,23.842,0.085,25.52
mvc-1200009736,mp-1044907,mp-1044853,Mg0 –0.5TiO2,intercalation,P3m1,1.23,291,1145,358,1408,0.17,0.03,0.0,110.03299999999999,0.004,99.311
mvc-1200009980,mp-763405,mvc-11093,Mg0 –0.5MnO2,intercalation,R3m,3.29,270,1136,890,3735,0.21,0.03,0.0,29.156999999999996,0.0,29.086
mvc-1200009977,mp-763405,mvc-12125,Mg0 –0.5FeO2,intercalation,R3m,3.92,268,1143,1051,4482,0.29,0.03,0.0,28.796,0.0,29.086
mvc-1200006454,mp-1041473,mp-1047608,MgCo3(AsO4)4,intercalation,P21/c,4.01,200,812,801,3257,0.23,0.03,0.0,134.83100000000002,0.004,125.855
mvc-1200014334,mvc-14334,mp-766786,Mg0 –1VF5,intercalation,C2/c,3.75,315,977,1180,3659,0.04,0.03,0.018000000000000002,69.688,2.404,62.496
mvc-1200006553,mp-1041600,mvc-6284,MgFe3(AsO4)4,intercalation,P21/c,3.74,202,782,755,2922,0.23,0.03,12.522,169.739,0.013999999999999999,140.993
mvc-1200005134,mvc-5134,mp-25523,MgFe(SiO3)2,intercalation,C2/c,3.07,231,781,709,2399,0.15,0.03,0.0,67.582,0.0,35.445
mvc-1200019003,mp-19003,mp-510748,Mg0 –1V2O5,intercalation,Cmcm,2.56,260,837,666,2146,0.01,0.03,0.002,69.161,0.0,64.975
mvc-1200010236,mp-1041166,mp-1041256,Mg0 –0.5NiO2,intercalation,Cm,3.57,261,1255,931,4486,0.2,0.03,0.0,70.837,0.0,101.191
mvc-1200005721,mvc-5721,mp-540321,Mg0 –1FeP2O7,intercalation,P1,3.43,211,703,724,2413,0.09,0.03,0.2,65.281,0.0,43.61
mvc-1200014364,mvc-14364,mvc-3453,Mg0 –1SbF5,intercalation,P21/c,3.29,222,885,731,2909,0.0,0.03,0.003,119.046,0.0,71.84899999999999
mvc-1200005116,mvc-5116,mvc-11572,MgMn(SiO3)2,intercalation,C2/c,2.96,232,753,687,2234,0.11,0.03,0.314,45.28,0.0,38.065
mvc-1200002997,mp-1046410,mp-1046421,MgSrV(PO4)2,intercalation,P1,2.44,152,543,371,1323,0.08,0.03,0.001,75.627,0.019,58.935
mvc-1200010122,mp-1041000,mvc-5627,Mg0 –0.5NiO2,intercalation,P3m1,3.47,261,1260,905,4376,0.16,0.03,0.0,64.949,0.0,94.884
mvc-1200005111,mvc-5111,mvc-13125,Mg0 –1Si2NiO6,intercalation,C2/c,4.06,228,812,926,3299,0.24,0.03,0.0,27.638,0.0,30.45
mvc-1200009460,mp-1044622,mvc-5171,Mg0 –0.5TiO2,intercalation,P3m1,1.22,291,1141,356,1394,0.17,0.03,0.0,112.464,0.0,90.866
mvc-1200010154,mp-1041014,mp-1040910,Mg0 –0.5VO2,intercalation,P3m1,2.44,282,1133,688,2765,0.16,0.03,0.0,109.286,0.0,99.18700000000001
mvc-1200033325,mp-33325,mvc-13181,Mg0 –0.5FeO2,intercalation,Cm,3.99,268,1150,1069,4588,0.31,0.03,0.005,156.84799999999998,0.154,183.351
mvc-1200013559,mvc-13559,mvc-14047,Mg0 –0.25MnS2,intercalation,R3m,1.07,107,365,114,389,0.0,0.03,10.389000000000001,29.566999999999997,0.055999999999999994,67.133
mvc-1200005112,mvc-5112,mvc-12012,MgCo(SiO3)2,intercalation,C2/c,3.49,228,805,795,2808,0.19,0.03,0.0,23.83,0.0,35.647
mvc-1200008351,mp-1043213,mp-1043195,MgV(GeO3)2,intercalation,C2/c,2.06,169,763,349,1571,0.06,0.03,0.757,66.277,0.0,26.024
mvc-1200011656,mvc-11656,mp-25476,Mg0 –0.25CoO2,intercalation,R3m,3.05,138,665,421,2027,0.01,0.03,0.0,14.761,0.0,27.839000000000002
mvc-1200004964,mvc-4964,mvc-6353,Mg0 –0.5MnO2,intercalation,Cm,3.41,270,1139,921,3880,0.25,0.03,0.005,134.94,0.132,176.505
mvc-1200006041,mp-1047312,mvc-11423,Mg0 –0.5TiO2,intercalation,Cmcm,1.13,291,1269,330,1437,0.15,0.03,1.781,36.184,0.0,0.0
mvc-1200009196,mp-1044309,mp-1044267,MgTiV(PO4)3,intercalation,R3c,2.67,131,397,350,1059,0.01,0.03,3.3139999999999996,135.597,1.821,111.885
mvc-1200000415,mp-1046839,mp-1046983,Mg0 –2Nb2CrO8,intercalation,Cc,3.28,259,1158,848,3794,0.25,0.03,0.0,73.813,0.0,51.886
mvc-1200008338,mp-1043188,mp-775220,MgV(GeO3)2,intercalation,P21/c,2.01,169,734,340,1472,0.05,0.04,0.0,63.781000000000006,0.0,52.534
mvc-1200008658,mp-1043526,mvc-12276,MgCr(Si2O5)2,intercalation,P4/ncc,3.34,154,444,514,1486,0.21,0.04,0.22399999999999998,230.30900000000003,0.0,146.642
mvc-1200016583,mp-1045314,mvc-13536,Mg0 –1CrF4,intercalation,C2/c,4.22,352,1218,1486,5143,0.35,0.04,1.114,48.433,0.0,42.361999999999995
mvc-1200009921,mp-1048837,mvc-5485,Mg0 –0.5CrO2,intercalation,P3m1,3.44,279,1166,960,4013,0.19,0.04,0.004,106.816,0.001,104.89200000000001
mvc-1200010135,mp-1041012,mvc-12170,Mg0 –0.5CoO2,intercalation,P3m1,3.33,260,1296,866,4315,0.1,0.04,0.0,72.498,0.0,100.5
mvc-1200005586,mvc-5586,mp-540262,Mg0 –1CoP2O7,intercalation,P1,3.84,208,718,801,2759,0.09,0.04,0.192,59.836000000000006,0.0,42.717
mvc-1200008271,mvc-8271,mvc-12312,Mg0 –1VNiP2O9,intercalation,Pmcn,3.54,158,547,559,1937,0.08,0.04,0.001,148.934,0.0,86.303
mvc-1200005570,mvc-5570,mp-540363,Mg0 –1VP2O7,intercalation,P1,2.47,215,705,531,1741,0.09,0.04,0.008,43.573,0.0,44.879
mvc-1200010531,mp-1041464,mvc-11637,Mg0 –1Fe3P3O13,intercalation,P21/m,3.86,109,369,420,1426,0.1,0.04,0.142,115.33,0.0,83.069
mvc-1200010041,mp-1040886,mp-1040982,Mg0 –1Cr2P2O9,intercalation,Pmcn,3.62,160,553,581,2002,0.07,0.04,0.003,141.792,0.0,90.406
mvc-1200010538,mp-1041465,mp-1047920,Mg0 –1Mo3P3O13,intercalation,P21/m,1.9,87,330,166,625,0.04,0.04,1.367,142.016,0.0,134.673
mvc-1200014034,mvc-14034,mvc-14215,Mg0 –1CrF5,intercalation,C2/c,4.87,313,1004,1523,4885,0.05,0.04,1.327,71.498,0.89,63.861999999999995
mvc-1200009561,mp-1044648,mp-1118309,Mg0 –0.5TiO2,intercalation,R3m,1.21,291,1148,353,1390,0.18,0.04,0.0,34.68,0.0,24.763
mvc-1200007429,mp-1042428,mp-1042373,Mg0 –1Bi2O5,intercalation,Pcab,3.51,103,775,360,2718,0.16,0.04,0.0,112.65100000000001,0.0,117.68799999999999
mvc-1200008200,mp-1042428,mvc-5322,Mg0 –1Bi2O5,intercalation,Cmcm,3.36,103,689,345,2313,0.14,0.06,0.397,64.664,0.0,117.68799999999999
mvc-1200003147,mp-1046588,mp-1046509,MgMn5(TeO6)3,intercalation,C2/c,3.03,206,960,623,2907,0.05,0.04,0.63,119.087,0.583,150.49200000000002
